STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,startindex,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2,2 - USC00045091,1372 - USC00044211,1267 - USC00046635,764 - USW00093138,1102 - USR0000CKEE,849 - USR0000CCRT,1797 - USC00043896,594 - USR0000CANZ,1882 - USC00047813,1627 - USR0000CBEU,934 - USC00044259,85 - USR0000CLHO,297 - USW00003104,1187 - USC00045502,2052 - USR0000CCLK,510 - USR0000CSRO,679 - USW00053151,1542 - USC00042805,38 - USC00047470,1457 - USR0000CELC,1287 - USW00003171,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924
USC00047470,"RIVERSIDE FIRE STATION 3, CA US",33.9511,-117.388,256,38,38 - USC00047470,1287 - USW00003171,2052 - USR0000CCLK,1542 - USC00042805,1457 - USR0000CELC,1627 - USR0000CBEU,1882 - USC00047813,510 - USR0000CSRO,1797 - USC00043896,849 - USR0000CCRT,679 - USW00053151,1102 - USR0000CKEE,1372 - USC00044211,2 - USC00045091,594 - USR0000CANZ,1267 - USC00046635,764 - USW00093138,85 - USR0000CLHO,934 - USC00044259,297 - USW00003104,1187 - USC00045502,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",34.0178,-116.1878,1280.2,85,85 - USR0000CLHO,934 - USC00044259,764 - USW00093138,1267 - USC00046635,297 - USW00003104,2 - USC00045091,1187 - USC00045502,1372 - USC00044211,425 - USC00041738,1967 - USC00043855,1102 - USR0000CKEE,849 - USR0000CCRT,594 - USR0000CANZ,1627 - USR0000CBEU,1019 - USC00042598,1797 - USC00043896,1882 - USC00047813,170 - USC00042410,2052 - USR0000CCLK,510 - USR0000CSRO,38 - USC00047470,679 - USW00053151,1542 - USC00042805,1287 - USW00003171,1457 - USR0000CELC,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924
USC00042410,"DESERT CENTER 2 NNE, CA US",33.7377,-115.3925,227.7,170,170 - USC00042410,1019 - USC00042598,1967 - USC00043855,425 - USC00041738,1712 - USW00023158,1187 - USC00045502,212 - USR0000CRIC,297 - USW00003104,382 - USC00040924,934 - USC00044259,85 - USR0000CLHO,764 - USW00093138,1267 - USC00046635,2 - USC00045091,594 - USR0000CANZ,1372 - USC00044211,1102 - USR0000CKEE,849 - USR0000CCRT,1797 - USC00043896,1627 - USR0000CBEU,1882 - USC00047813,679 - USW00053151,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,38 - USC00047470,1457 - USR0000CELC,1287 - USW00003171
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",34.0608,-114.7322,249.9,212,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924,170 - USC00042410,1019 - USC00042598,1967 - USC00043855,425 - USC00041738,85 - USR0000CLHO,1187 - USC00045502,297 - USW00003104,934 - USC00044259,764 - USW00093138,1267 - USC00046635,2 - USC00045091,1372 - USC00044211,594 - USR0000CANZ,1102 - USR0000CKEE,849 - USR0000CCRT,1797 - USC00043896,1627 - USR0000CBEU,1882 - USC00047813,679 - USW00053151,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,38 - USC00047470,1287 - USW00003171,1457 - USR0000CELC
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",33.63166,-116.16412,-36,297,297 - USW00003104,934 - USC00044259,1187 - USC00045502,764 - USW00093138,1267 - USC00046635,425 - USC00041738,85 - USR0000CLHO,594 - USR0000CANZ,2 - USC00045091,1967 - USC00043855,1372 - USC00044211,1102 - USR0000CKEE,849 - USR0000CCRT,1797 - USC00043896,1019 - USC00042598,170 - USC00042410,1882 - USC00047813,1627 - USR0000CBEU,679 - USW00053151,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,1457 - USR0000CELC,38 - USC00047470,1287 - USW00003171,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USC00040924,"BLYTHE, CA US",33.61389,-114.59789,81.7,382,382 - USC00040924,1712 - USW00023158,212 - USR0000CRIC,170 - USC00042410,1019 - USC00042598,1967 - USC00043855,425 - USC00041738,1187 - USC00045502,297 - USW00003104,934 - USC00044259,85 - USR0000CLHO,764 - USW00093138,1267 - USC00046635,2 - USC00045091,594 - USR0000CANZ,1372 - USC00044211,1102 - USR0000CKEE,849 - USR0000CCRT,1797 - USC00043896,1627 - USR0000CBEU,1882 - USC00047813,679 - USW00053151,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,1457 - USR0000CELC,38 - USC00047470,1287 - USW00003171
USC00041738,"CHIRIACO SUMMIT, CA US",33.6617,-115.7206,520,425,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1187 - USC00045502,297 - USW00003104,934 - USC00044259,85 - USR0000CLHO,764 - USW00093138,1267 - USC00046635,2 - USC00045091,594 - USR0000CANZ,1372 - USC00044211,1712 - USW00023158,1102 - USR0000CKEE,212 - USR0000CRIC,849 - USR0000CCRT,382 - USC00040924,1797 - USC00043896,1882 - USC00047813,1627 - USR0000CBEU,679 - USW00053151,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,1457 - USR0000CELC,38 - USC00047470,1287 - USW00003171
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",33.5286,-117.2306,603.5,510,510 - USR0000CSRO,679 - USW00053151,1542 - USC00042805,1457 - USR0000CELC,1882 - USC00047813,1797 - USC00043896,2052 - USR0000CCLK,849 - USR0000CCRT,1102 - USR0000CKEE,38 - USC00047470,1287 - USW00003171,1627 - USR0000CBEU,594 - USR0000CANZ,1372 - USC00044211,2 - USC00045091,1267 - USC00046635,764 - USW00093138,934 - USC00044259,297 - USW00003104,1187 - USC00045502,85 - USR0000CLHO,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USR0000CANZ,"ANZA CALIFORNIA, CA US",33.555,-116.673,1194.8,594,594 - USR0000CANZ,1102 - USR0000CKEE,1372 - USC00044211,849 - USR0000CCRT,2 - USC00045091,1797 - USC00043896,764 - USW00093138,1267 - USC00046635,1882 - USC00047813,934 - USC00044259,297 - USW00003104,1627 - USR0000CBEU,679 - USW00053151,510 - USR0000CSRO,1187 - USC00045502,1542 - USC00042805,85 - USR0000CLHO,2052 - USR0000CCLK,1457 - USR0000CELC,38 - USC00047470,1287 - USW00003171,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
